"Year","Legislative Branch","Judicial Branch","Department of Agriculture","Department of Commerce","Department of Defense--Military Programs","Department of Education","Department of Energy","Department of Health and Human Services","Department of Homeland Security","Department of Housing and Urban Development","Department of the Interior","Department of Justice","Department of Labor","Department of State","Department of Transportation","Department of the Treasury","Department of Veterans Affairs","Corps of Engineers--Civil Works","Other Defense Civil Programs","Environmental Protection Agency","Executive Office of the President","General Services Administration","International Assistance Programs","National Aeronautics and Space Administration","National Science Foundation","Office of Personnel Management","Small Business Administration","Social Security Administration","Other Independent Agencies","Undistributed Offsetting Receipts","Total"
2006,0.2,0.2,3.5,0.2,18.8,3.5,0.7,23.1,2.6,1.6,0.3,0.9,1.6,0.5,2.3,17.5,2.6,0.3,1.7,0.3,0.2,0,0.5,0.6,0.2,2.4,0,22.1,0.5,-8.9,100
2007,0.2,0.2,3.1,0.2,19.4,2.4,0.7,24.6,1.4,1.7,0.4,0.9,1.7,0.5,2.3,18,2.7,0.1,1.7,0.3,0.1,0,0.5,0.6,0.2,2.1,0,22.8,0.7,-9.5,100
2008,0.1,0.2,3,0.3,19.9,2.2,0.7,23.5,1.4,1.6,0.3,0.9,2,0.6,2.2,18.4,2.8,0.2,1.5,0.3,0,0,0.4,0.6,0.2,2.2,0,22.1,1.7,-9.3,100
2009,0.1,0.2,3.3,0.3,18.1,1.5,0.7,22.6,1.5,1.7,0.3,0.8,3.9,0.6,2.1,19.9,2.7,0.2,1.6,0.2,0,0,0.4,0.5,0.2,2.1,0.1,20.6,1.4,-7.8,100
2010,0.2,0.2,3.7,0.4,19.3,2.7,0.9,24.7,1.3,1.7,0.4,0.9,5,0.7,2.2,12.9,3.1,0.3,1.6,0.3,0,0,0.6,0.5,0.2,2,0.2,21.8,-0.1,-7.7,100
2011,0.1,0.2,3.9,0.3,18.8,1.8,0.9,24.7,1.3,1.6,0.4,0.8,3.7,0.7,2.1,15,3.5,0.3,1.5,0.3,0,0.1,0.6,0.5,0.2,2.1,0.2,21.8,0.5,-7.7,100
2012,0.1,0.2,4,0.3,18.4,1.6,0.9,24,1.3,1.4,0.4,0.9,3,0.8,2.1,13.1,3.5,0.2,2.2,0.4,0,0,0.6,0.5,0.2,2.2,0.1,23.2,0.9,-6.5,100
2013,0.1,0.2,4.5,0.3,17.6,1.2,0.7,25.7,1.7,1.6,0.3,0.9,2.3,0.8,2.2,11.6,4,0.2,1.6,0.3,0,0,0.6,0.5,0.2,2.4,0,25.1,0.7,-7.2,100
2014,0.1,0.2,4,0.2,16.5,1.7,0.7,26.7,1.2,1.1,0.3,0.8,1.6,0.8,2.2,12.7,4.3,0.2,1.6,0.3,0,0,0.5,0.5,0.2,2.5,0,25.8,0.2,-7,100
2015,0.1,0.2,3.8,0.2,15.3,2.4,0.7,27.9,1.2,1,0.3,0.7,1.2,0.7,2,13.2,4.3,0.2,1.7,0.2,0,0,0.6,0.5,0.2,2.5,0,25.6,0.4,-7,100
